order_purchase_year,order_purchase_week,avg_order_delivery_time_in_day
2016,37,54.81
2016,40,19.59
2016,41,19.23
2016,51,4.69
2017,1,11.52
2017,10,12.91
2017,11,13.84
2017,12,12.35
2017,13,13.21
2017,14,13.98
2017,15,15.13
2017,16,15.79
2017,17,15.24
2017,18,13.58
2017,19,11.06
2017,2,14.75
2017,20,10.51
2017,21,10.5
2017,22,11.64
2017,23,12.08
2017,24,12.76
2017,25,11.34
2017,26,11.52
2017,27,11.83
2017,28,12.3
2017,29,11.32
2017,3,11.75
2017,30,11.21
2017,31,11.12
2017,32,11.11
2017,33,11.22
2017,34,11.03
2017,35,11.2
2017,36,11.95
2017,37,12.01
2017,38,11.9
2017,39,11.67
2017,4,12.87
2017,40,12.2
2017,41,12.07
2017,42,11.58
2017,43,11.63
2017,44,12.15
2017,45,12.92
2017,46,13.69
2017,47,16.68
2017,48,16.31
2017,49,16.1
2017,5,12.54
2017,50,15.15
2017,51,15.1
2017,52,14.21
2017,6,12.2
2017,7,13.24
2017,8,14.72
2017,9,12.75
2018,1,13.74
2018,10,18.12
2018,11,16.78
2018,12,13.9
2018,13,13.89
2018,14,11.94
2018,15,11.56
2018,16,11.49
2018,17,11.22
2018,18,10.69
2018,19,10.62
2018,2,13.87
2018,20,12.2
2018,21,12.43
2018,22,11.54
2018,23,10.18
2018,24,9.09
2018,25,8.48
2018,26,8.33
2018,27,8.55
2018,28,11.25
2018,29,9.03
2018,3,13.89
2018,30,8.33
2018,31,8.68
2018,32,8.5
2018,33,7.63
2018,34,5.48
2018,35,2.2
2018,4,14.2
2018,5,15.61
2018,6,16.56
2018,7,16.08
2018,8,17.53
2018,9,19.07
