order_purchase_year,order_purchase_week,avg_time_to_approve_in_hour
2016,35,784.05
2016,36,781.03
2016,37,286.93
2016,39,89.72
2016,40,38.68
2016,41,17.63
2016,51,0.25
2017,1,26.92
2017,10,2.62
2017,11,0.54
2017,12,8.72
2017,13,11.28
2017,14,8.93
2017,15,10.23
2017,16,15.28
2017,17,17.57
2017,18,13.5
2017,19,9.51
2017,2,9.85
2017,20,9.75
2017,21,8.39
2017,22,9.08
2017,23,8.84
2017,24,9.62
2017,25,10.72
2017,26,8.78
2017,27,10.47
2017,28,9.52
2017,29,9.11
2017,3,11.66
2017,30,9.89
2017,31,9.13
2017,32,9.35
2017,33,9.88
2017,34,10.31
2017,35,13.53
2017,36,11.25
2017,37,8.97
2017,38,9.74
2017,39,9.66
2017,4,10.74
2017,40,9.15
2017,41,10.79
2017,42,8.54
2017,43,9.3
2017,44,11.03
2017,45,10.48
2017,46,10.82
2017,47,10.81
2017,48,11.38
2017,49,12.07
2017,5,12.66
2017,50,9.69
2017,51,10.24
2017,52,10.19
2017,6,9.45
2017,7,7.49
2017,8,11.39
2017,9,10.01
2018,1,10.23
2018,10,8.12
2018,11,8.72
2018,12,8.02
2018,13,9.3
2018,14,9.17
2018,15,10.34
2018,16,28.41
2018,17,11.7
2018,18,11.25
2018,19,8.24
2018,2,10.81
2018,20,8.43
2018,21,8.9
2018,22,9.37
2018,23,8.16
2018,24,8.0
2018,25,8.59
2018,26,11.06
2018,27,22.2
2018,28,9.05
2018,29,11.64
2018,3,12.82
2018,30,12.75
2018,31,9.52
2018,32,8.16
2018,33,10.34
2018,34,6.17
2018,35,1.88
2018,36,8.57
2018,4,7.78
2018,5,10.62
2018,6,10.2
2018,7,9.78
2018,8,9.18
2018,9,9.1
