customer_city,order_purchase_year,order_purchase_week,total_freight_charges
ALMIRANTE TAMANDARE DO SUL,2017,43,15.1
ALMIRANTE TAMANDARE DO SUL,2018,27,23.28
ALTA FLORESTA D'OESTE,2017,47,37.77
ALTA FLORESTA D'OESTE,2018,1,52.17
ALTO ALEGRE DOS PARECIS,2017,46,46.95
ALTO ALEGRE DOS PARECIS,2017,47,46.96
ALTO ALEGRE DOS PARECIS,2018,4,44.02
ALVORADA D'OESTE,2017,43,70.12
ALVORADA D'OESTE,2018,9,53.02
Abadia dos Dourados,2017,20,20.63
Abadia dos Dourados,2018,24,18.38
Abadia dos Dourados,2018,33,15.59
Abadiania,2018,30,16.24
Abadiania,2018,9,75.53
Abaete,2016,40,16.53
Abaete,2017,30,13.37
Abaete,2017,31,14.66
Abaete,2018,13,17.89
Abaete,2018,16,19.7
Abaete,2018,24,12.07
Abaete,2018,25,15.15
Abaete,2018,30,13.37
Abaetetuba,2017,24,39.38
Abaetetuba,2017,38,46.82
Abaetetuba,2017,41,24.84
Abaetetuba,2017,46,34.15
Abaetetuba,2017,50,37.82
Abaetetuba,2018,1,68.09
Abaetetuba,2018,15,37.04
Abaetetuba,2018,27,64.8
Abaetetuba,2018,32,28.05
Abaetetuba,2018,33,70.93
Abaetetuba,2018,34,25.63
Abaiara,2018,32,85.51
Abaira,2018,32,22.06
Abare,2017,51,17.48
Abatia,2017,44,19.32
Abatia,2018,32,17.88
Abdon Batista,2017,4,17.88
Abdon Batista,2018,19,15.65
Abdon Batista,2018,27,15.65
Abel Figueiredo,2017,32,25.63
Abel Figueiredo,2017,52,35.82
Abelardo Luz,2017,37,23.21
Abelardo Luz,2017,48,37.2
Abelardo Luz,2018,15,31.94
Abelardo Luz,2018,16,15.1
Abelardo Luz,2018,28,15.1
Abrantes,2017,14,22.01
Abrantes,2017,5,18.8
Abrantes,2018,23,18.13
Abrantes,2018,7,15.79
Abre Campo,2017,39,21.26
Abre Campo,2017,48,16.35
Abre Campo,2017,52,15.1
Abre Campo,2018,10,12.48
Abre Campo,2018,12,15.1
Abre Campo,2018,13,17.6
Abre Campo,2018,17,17.92
Abreu e Lima,2017,18,130.97
Abreu e Lima,2017,30,28.75
Abreu e Lima,2017,35,19.04
Abreu e Lima,2017,49,19.17
Abreu e Lima,2017,50,17.68
Abreu e Lima,2018,16,19.13
Abreu e Lima,2018,21,17.68
Abreu e Lima,2018,23,24.97
Abreu e Lima,2018,29,28.82
Abreu e Lima,2018,6,25.83
Abreu e Lima,2018,8,21.06
Acaiaca,2018,29,27.9
Acaiaca,2018,31,15.1
Acailandia,2017,21,54.46
Acailandia,2017,22,43.11
Acailandia,2017,44,35.06
Acailandia,2017,47,34.15
Acailandia,2018,27,36.0
Acailandia,2018,30,34.84
Acarau,2017,43,25.63
Acarau,2017,44,24.84
Acarau,2017,46,35.83
Acarau,2018,12,36.15
Acarau,2018,14,56.519999999999996
Acarau,2018,23,27.45
Acarau,2018,29,35.83
Acari,2017,28,48.43
Acegua,2017,33,21.65
Acopiara,2017,15,29.03
Acopiara,2017,31,25.63
Acopiara,2017,32,80.67
Acopiara,2017,33,28.81
Acopiara,2018,21,38.27
Acopiara,2018,8,57.88
Acreuna,2017,20,86.98
Acreuna,2018,19,67.19
Acreuna,2018,23,15.38
Acreuna,2018,28,36.88
Acu,2017,28,48.18
Acu,2017,31,43.25
Acu,2018,18,34.18
Acu,2018,19,43.41
Acu,2018,20,62.22
Acu,2018,5,49.68
Acucena,2017,37,54.79
Acucena,2018,33,18.87
Acucena,2018,6,20.19
Adamantina,2017,12,14.47
Adamantina,2017,23,12.69
Adamantina,2017,30,11.85
Adamantina,2017,31,20.96
Adamantina,2017,38,30.759999999999998
Adamantina,2017,41,17.44
Adamantina,2017,43,82.47999999999999
Adamantina,2017,46,13.08
Adamantina,2017,48,13.4
Adamantina,2017,51,11.85
Adamantina,2017,7,11.85
Adamantina,2018,1,12.74
Adamantina,2018,12,17.48
Adamantina,2018,13,38.07
Adamantina,2018,14,11.85
Adamantina,2018,16,10.96
Adamantina,2018,20,29.12
Adamantina,2018,22,18.02
Adamantina,2018,28,25.38
Adamantina,2018,3,24.14
Adamantina,2018,30,16.01
Adamantina,2018,32,45.03
Adamantina,2018,33,13.43
Adamantina,2018,4,17.21
Adamantina,2018,5,17.44
Adhemar de Barros,2017,46,27.29
Adolfo,2017,28,24.81
Adolfo,2018,15,13.43
Adolfo,2018,19,11.87
Adolfo,2018,9,46.85
Adrianopolis,2017,44,17.95
Adrianopolis,2018,11,15.27
Adustina,2017,22,39.6
Adustina,2017,52,16.79
Adustina,2018,17,27.47
Afogados da Ingazeira,2017,11,26.89
Afogados da Ingazeira,2017,24,30.0
Afogados da Ingazeira,2017,27,24.68
Afogados da Ingazeira,2017,42,29.02
Afogados da Ingazeira,2017,45,27.07
Afogados da Ingazeira,2018,2,25.63
Afogados da Ingazeira,2018,4,31.58
Afogados da Ingazeira,2018,8,35.07
Afonso Bezerra,2017,48,49.11
Afonso Claudio,2017,10,15.1
Afonso Claudio,2017,36,16.15
Afonso Claudio,2017,39,17.98
Afonso Claudio,2017,42,15.1
Afonso Claudio,2017,43,52.26
Afonso Claudio,2017,46,23.19
Afonso Claudio,2017,6,15.1
Afonso Claudio,2018,13,18.31
Afonso Claudio,2018,26,16.56
