customer_city,order_purchase_date,Total_orders
ALMIRANTE TAMANDARE DO SUL,2017-10-26,1
ALMIRANTE TAMANDARE DO SUL,2018-07-02,1
ALTA FLORESTA D'OESTE,2017-11-25,1
ALTA FLORESTA D'OESTE,2018-01-06,1
ALTO ALEGRE DOS PARECIS,2017-11-13,1
ALTO ALEGRE DOS PARECIS,2017-11-25,1
ALTO ALEGRE DOS PARECIS,2018-01-28,1
ALVORADA D'OESTE,2017-10-23,1
ALVORADA D'OESTE,2018-03-01,1
Abadia dos Dourados,2017-05-15,1
Abadia dos Dourados,2018-06-15,1
Abadia dos Dourados,2018-08-13,1
Abadiania,2018-03-01,1
Abadiania,2018-07-23,1
Abaete,2016-10-04,1
Abaete,2017-07-25,1
Abaete,2017-08-02,1
Abaete,2018-03-26,1
Abaete,2018-04-18,1
Abaete,2018-06-13,1
Abaete,2018-06-21,1
Abaete,2018-07-24,1
Abaetetuba,2017-06-14,1
Abaetetuba,2017-09-22,1
Abaetetuba,2017-10-15,1
Abaetetuba,2017-11-16,1
Abaetetuba,2017-12-12,1
Abaetetuba,2018-01-04,1
Abaetetuba,2018-04-13,1
Abaetetuba,2018-07-03,1
Abaetetuba,2018-08-07,1
Abaetetuba,2018-08-17,1
Abaetetuba,2018-08-19,1
Abaetetuba,2018-08-22,1
Abaiara,2018-08-08,1
Abaira,2018-08-10,1
Abare,2017-12-22,1
Abatia,2017-11-05,1
Abatia,2018-08-06,1
Abdon Batista,2017-01-24,1
Abdon Batista,2018-05-09,1
Abdon Batista,2018-07-04,1
Abel Figueiredo,2017-08-07,1
Abel Figueiredo,2017-12-28,1
Abelardo Luz,2017-09-15,1
Abelardo Luz,2017-11-27,1
Abelardo Luz,2017-12-02,1
Abelardo Luz,2018-04-11,1
Abelardo Luz,2018-04-21,1
Abelardo Luz,2018-07-09,1
Abrantes,2017-01-30,1
Abrantes,2017-04-06,1
Abrantes,2018-02-13,1
Abrantes,2018-06-04,1
Abre Campo,2017-09-28,1
Abre Campo,2017-11-29,1
Abre Campo,2017-12-31,1
Abre Campo,2018-03-08,1
Abre Campo,2018-03-25,1
Abre Campo,2018-03-27,1
Abre Campo,2018-04-28,1
Abreu e Lima,2017-05-05,1
Abreu e Lima,2017-05-07,1
Abreu e Lima,2017-07-30,1
Abreu e Lima,2017-08-30,1
Abreu e Lima,2017-12-07,1
Abreu e Lima,2017-12-14,1
Abreu e Lima,2018-02-07,1
Abreu e Lima,2018-02-22,1
Abreu e Lima,2018-04-18,1
Abreu e Lima,2018-05-22,1
Abreu e Lima,2018-06-08,1
Abreu e Lima,2018-07-20,1
Acaiaca,2018-07-16,1
Acaiaca,2018-08-05,1
Acailandia,2017-05-25,1
Acailandia,2017-06-04,1
Acailandia,2017-10-30,1
Acailandia,2017-11-26,1
Acailandia,2018-07-07,1
Acailandia,2018-07-26,1
Acarau,2017-10-24,1
Acarau,2017-11-05,1
Acarau,2017-11-19,1
Acarau,2018-03-19,1
Acarau,2018-04-02,1
Acarau,2018-04-08,1
Acarau,2018-06-07,1
Acarau,2018-07-16,1
Acari,2017-07-12,1
Acegua,2017-08-14,1
Acopiara,2017-04-13,1
Acopiara,2017-07-31,1
Acopiara,2017-08-08,1
Acopiara,2017-08-17,1
Acopiara,2018-02-21,1
Acopiara,2018-02-23,1
Acopiara,2018-05-21,1
Acreuna,2017-05-16,1
Acreuna,2018-05-08,1
Acreuna,2018-06-10,1
Acreuna,2018-07-14,1
Acu,2017-07-11,1
Acu,2017-08-02,1
Acu,2018-01-29,1
Acu,2018-04-30,1
Acu,2018-05-12,1
Acu,2018-05-14,1
Acucena,2017-09-13,1
Acucena,2018-02-06,1
Acucena,2018-08-16,1
Adamantina,2017-02-16,1
Adamantina,2017-03-25,1
Adamantina,2017-06-09,1
Adamantina,2017-07-25,1
Adamantina,2017-08-02,1
Adamantina,2017-09-21,1
Adamantina,2017-09-22,2
Adamantina,2017-10-10,1
Adamantina,2017-10-24,1
Adamantina,2017-10-27,1
Adamantina,2017-11-19,1
Adamantina,2017-11-30,1
Adamantina,2017-12-20,1
Adamantina,2018-01-02,1
Adamantina,2018-01-17,1
Adamantina,2018-01-21,1
Adamantina,2018-01-23,1
Adamantina,2018-01-31,1
Adamantina,2018-03-19,1
Adamantina,2018-03-29,1
Adamantina,2018-04-07,1
Adamantina,2018-04-18,1
Adamantina,2018-05-17,1
Adamantina,2018-06-01,1
Adamantina,2018-07-15,1
Adamantina,2018-07-24,1
Adamantina,2018-08-07,1
Adamantina,2018-08-19,1
Adhemar de Barros,2017-11-13,1
Adolfo,2017-07-13,1
Adolfo,2018-02-28,1
Adolfo,2018-04-09,1
Adolfo,2018-05-10,1
Adrianopolis,2017-10-30,1
Adrianopolis,2018-03-15,1
Adustina,2017-06-04,1
Adustina,2017-12-28,1
Adustina,2018-04-26,1
Afogados da Ingazeira,2017-03-16,1
Afogados da Ingazeira,2017-06-15,1
Afogados da Ingazeira,2017-07-06,1
Afogados da Ingazeira,2017-10-16,1
Afogados da Ingazeira,2017-11-08,1
Afogados da Ingazeira,2018-01-12,1
Afogados da Ingazeira,2018-01-28,1
Afogados da Ingazeira,2018-02-21,1
Afonso Bezerra,2017-11-28,1
Afonso Claudio,2017-02-12,1
Afonso Claudio,2017-03-08,1
Afonso Claudio,2017-09-09,1
Afonso Claudio,2017-09-25,1
Afonso Claudio,2017-10-22,1
Afonso Claudio,2017-10-24,2
Afonso Claudio,2017-11-18,1
Afonso Claudio,2018-01-21,1
Afonso Claudio,2018-03-02,1
Afonso Claudio,2018-04-01,1
Afonso Claudio,2018-06-25,1
Afranio,2018-01-23,1
Agisse,2018-03-09,1
Agrolandia,2017-05-17,1
Agrolandia,2017-09-13,1
Agrolandia,2018-01-29,1
Agronomica,2017-06-24,1
Agua Azul do Norte,2018-05-06,1
Agua Boa,2017-08-07,1
Agua Boa,2017-09-28,1
Agua Boa,2018-01-26,1
Agua Boa,2018-01-28,1
Agua Boa,2018-02-22,1
Agua Boa,2018-03-02,1
Agua Boa,2018-03-06,1
Agua Boa,2018-03-14,1
Agua Boa,2018-04-11,1
Agua Boa,2018-04-22,1
Agua Boa,2018-04-28,1
Agua Boa,2018-05-08,1
Agua Boa,2018-05-16,1
Agua Boa,2018-05-18,1
Agua Boa,2018-06-01,1
Agua Boa,2018-07-17,1
Agua Branca,2018-03-24,1
Agua Branca,2018-03-28,1
Agua Branca,2018-06-09,1
Agua Clara,2017-09-04,1
Agua Clara,2018-06-25,1
Agua Comprida,2017-12-14,1
Agua Comprida,2018-02-06,1
Agua Comprida,2018-06-20,1
Agua Doce,2018-03-15,1
Agua Doce,2018-03-16,1
Agua Doce,2018-03-29,1
Agua Doce,2018-08-09,1
Agua Doce do Norte,2017-08-07,1
Agua Doce do Norte,2017-11-09,1
Agua Doce do Norte,2017-12-28,1
Agua Doce do Norte,2018-05-30,1
Agua Doce do Norte,2018-08-21,1
Agua Fria,2017-08-16,1
Agua Fria de Goias,2018-05-14,1
Agua Limpa,2017-12-04,1
Agua Nova,2017-11-30,1
Agua Preta,2017-12-28,1
Agua Santa,2018-06-04,1
Agua Santa,2018-07-27,1
Agua Santa,2018-08-05,1
Agua Vermelha,2017-05-22,1
Aguai,2017-06-11,1
Aguai,2017-07-09,1
Aguai,2017-08-15,1
Aguai,2017-11-16,1
Aguai,2018-01-26,1
Aguai,2018-02-13,1
Aguai,2018-02-23,1
Aguai,2018-03-13,1
Aguai,2018-03-28,1
Aguai,2018-05-14,1
Aguai,2018-07-18,1
Aguas Belas,2017-03-18,1
