customer_city,order_purchase_year,order_purchase_week,Total_orders
ALMIRANTE TAMANDARE DO SUL,2017,43,1
ALMIRANTE TAMANDARE DO SUL,2018,27,1
ALTA FLORESTA D'OESTE,2017,47,1
ALTA FLORESTA D'OESTE,2018,1,1
ALTO ALEGRE DOS PARECIS,2017,46,1
ALTO ALEGRE DOS PARECIS,2017,47,1
ALTO ALEGRE DOS PARECIS,2018,4,1
ALVORADA D'OESTE,2017,43,1
ALVORADA D'OESTE,2018,9,1
Abadia dos Dourados,2017,20,1
Abadia dos Dourados,2018,24,1
Abadia dos Dourados,2018,33,1
Abadiania,2018,30,1
Abadiania,2018,9,1
Abaete,2016,40,1
Abaete,2017,30,1
Abaete,2017,31,1
Abaete,2018,13,1
Abaete,2018,16,1
Abaete,2018,24,1
Abaete,2018,25,1
Abaete,2018,30,1
Abaetetuba,2017,24,1
Abaetetuba,2017,38,1
Abaetetuba,2017,41,1
Abaetetuba,2017,46,1
Abaetetuba,2017,50,1
Abaetetuba,2018,1,1
Abaetetuba,2018,15,1
Abaetetuba,2018,27,1
Abaetetuba,2018,32,1
Abaetetuba,2018,33,2
Abaetetuba,2018,34,1
Abaiara,2018,32,1
Abaira,2018,32,1
Abare,2017,51,1
Abatia,2017,44,1
Abatia,2018,32,1
Abdon Batista,2017,4,1
Abdon Batista,2018,19,1
Abdon Batista,2018,27,1
Abel Figueiredo,2017,32,1
Abel Figueiredo,2017,52,1
Abelardo Luz,2017,37,1
Abelardo Luz,2017,48,2
Abelardo Luz,2018,15,1
Abelardo Luz,2018,16,1
Abelardo Luz,2018,28,1
Abrantes,2017,14,1
Abrantes,2017,5,1
Abrantes,2018,23,1
Abrantes,2018,7,1
Abre Campo,2017,39,1
Abre Campo,2017,48,1
Abre Campo,2017,52,1
Abre Campo,2018,10,1
Abre Campo,2018,12,1
Abre Campo,2018,13,1
Abre Campo,2018,17,1
Abreu e Lima,2017,18,2
Abreu e Lima,2017,30,1
Abreu e Lima,2017,35,1
Abreu e Lima,2017,49,1
Abreu e Lima,2017,50,1
Abreu e Lima,2018,16,1
Abreu e Lima,2018,21,1
Abreu e Lima,2018,23,1
Abreu e Lima,2018,29,1
Abreu e Lima,2018,6,1
Abreu e Lima,2018,8,1
Acaiaca,2018,29,1
Acaiaca,2018,31,1
Acailandia,2017,21,1
Acailandia,2017,22,1
Acailandia,2017,44,1
Acailandia,2017,47,1
Acailandia,2018,27,1
Acailandia,2018,30,1
Acarau,2017,43,1
Acarau,2017,44,1
Acarau,2017,46,1
