order_purchase_date,Total_orders
2016-09-04,1
2016-09-05,1
2016-09-13,1
2016-09-15,1
2016-10-02,1
2016-10-03,8
2016-10-04,63
2016-10-05,48
2016-10-06,51
2016-10-07,46
2016-10-08,43
2016-10-09,26
2016-10-10,39
2016-10-22,1
2016-12-23,1
2017-01-05,32
2017-01-06,4
2017-01-07,4
2017-01-08,6
2017-01-09,5
2017-01-10,6
2017-01-11,12
2017-01-12,13
2017-01-13,12
2017-01-14,18
2017-01-15,14
2017-01-16,20
2017-01-17,32
2017-01-18,33
2017-01-19,29
2017-01-20,29
2017-01-21,24
2017-01-22,31
2017-01-23,39
2017-01-24,40
2017-01-25,63
2017-01-26,86
2017-01-27,62
2017-01-28,29
2017-01-29,35
2017-01-30,53
2017-01-31,70
2017-02-01,74
2017-02-02,69
2017-02-03,61
2017-02-04,67
2017-02-05,76
2017-02-06,86
2017-02-07,114
2017-02-08,97
2017-02-09,77
2017-02-10,67
2017-02-11,49
2017-02-12,64
2017-02-13,79
2017-02-14,76
2017-02-15,63
2017-02-16,56
2017-02-17,46
2017-02-18,55
2017-02-19,40
2017-02-20,63
2017-02-21,41
2017-02-22,63
2017-02-23,59
2017-02-24,65
2017-02-25,43
2017-02-26,46
2017-02-27,44
2017-02-28,55
2017-03-01,99
2017-03-02,74
2017-03-03,74
2017-03-04,81
2017-03-05,74
2017-03-06,105
2017-03-07,82
2017-03-08,79
2017-03-09,94
2017-03-10,89
2017-03-11,72
2017-03-12,64
2017-03-13,111
2017-03-14,100
2017-03-15,108
2017-03-16,104
2017-03-17,65
2017-03-18,73
2017-03-19,56
2017-03-20,119
2017-03-21,97
2017-03-22,105
2017-03-23,114
2017-03-24,79
2017-03-25,77
2017-03-26,64
2017-03-27,111
2017-03-28,103
2017-03-29,74
2017-03-30,74
2017-03-31,70
2017-04-01,68
2017-04-02,65
2017-04-03,72
2017-04-04,96
2017-04-05,96
2017-04-06,98
2017-04-07,85
2017-04-08,68
2017-04-09,75
2017-04-10,87
2017-04-11,78
2017-04-12,63
2017-04-13,60
2017-04-14,54
2017-04-15,52
2017-04-16,50
2017-04-17,66
2017-04-18,72
2017-04-19,98
2017-04-20,99
2017-04-21,68
2017-04-22,85
2017-04-23,89
2017-04-24,115
2017-04-25,112
2017-04-26,126
2017-04-27,81
2017-04-28,98
2017-04-29,75
2017-04-30,68
2017-05-01,117
2017-05-02,128
2017-05-03,103
2017-05-04,110
2017-05-05,114
2017-05-06,109
2017-05-07,112
2017-05-08,124
2017-05-09,130
2017-05-10,116
2017-05-11,129
2017-05-12,115
2017-05-13,74
2017-05-14,116
2017-05-15,158
2017-05-16,155
2017-05-17,142
2017-05-18,127
2017-05-19,144
2017-05-20,72
2017-05-21,148
2017-05-22,148
2017-05-23,126
2017-05-24,142
2017-05-25,108
2017-05-26,80
2017-05-27,83
2017-05-28,99
2017-05-29,160
2017-05-30,106
2017-05-31,131
2017-06-01,124
2017-06-02,129
2017-06-03,90
2017-06-04,102
2017-06-05,148
2017-06-06,134
2017-06-07,129
2017-06-08,140
2017-06-09,109
2017-06-10,77
2017-06-11,115
2017-06-12,128
2017-06-13,129
2017-06-14,131
2017-06-15,109
2017-06-16,97
2017-06-17,75
2017-06-18,91
2017-06-19,156
2017-06-20,94
2017-06-21,35
2017-06-22,88
2017-06-23,108
2017-06-24,77
2017-06-25,106
2017-06-26,73
2017-06-27,143
2017-06-28,121
2017-06-29,115
2017-06-30,96
2017-07-01,82
2017-07-02,108
2017-07-03,119
2017-07-04,126
2017-07-05,145
2017-07-06,155
2017-07-07,121
2017-07-08,84
2017-07-09,94
2017-07-10,143
2017-07-11,165
2017-07-12,153
2017-07-13,138
2017-07-14,150
2017-07-15,100
2017-07-16,114
2017-07-17,169
2017-07-18,193
2017-07-19,153
2017-07-20,143
2017-07-21,116
2017-07-22,88
2017-07-23,105
2017-07-24,162
2017-07-25,154
2017-07-26,124
2017-07-27,124
2017-07-28,132
2017-07-29,116
2017-07-30,118
2017-07-31,148
2017-08-01,167
2017-08-02,158
2017-08-03,149
2017-08-04,142
2017-08-05,116
2017-08-06,111
2017-08-07,158
2017-08-08,148
2017-08-09,145
2017-08-10,157
2017-08-11,141
2017-08-12,98
2017-08-13,96
2017-08-14,160
2017-08-15,195
2017-08-16,178
2017-08-17,158
2017-08-18,148
2017-08-19,108
2017-08-20,104
