customer_state,order_purchase_date,Total_orders
AC,2017-03-23,1
AC,2017-03-25,1
AC,2017-03-28,1
AC,2017-03-30,1
AC,2017-05-12,1
AC,2017-05-17,1
AC,2017-05-27,1
AC,2017-05-29,1
AC,2017-05-30,1
AC,2017-06-02,1
AC,2017-06-03,1
AC,2017-06-07,1
AC,2017-06-08,1
AC,2017-06-26,1
AC,2017-07-01,1
AC,2017-08-03,1
AC,2017-08-10,1
AC,2017-08-14,1
AC,2017-08-15,1
AC,2017-08-16,1
AC,2017-08-24,1
AC,2017-09-01,1
AC,2017-09-03,1
AC,2017-09-11,1
AC,2017-10-03,1
AC,2017-10-09,1
AC,2017-10-17,1
AC,2017-10-25,1
AC,2017-10-28,1
AC,2017-11-02,1
AC,2017-11-10,1
AC,2017-11-13,1
AC,2017-11-17,1
AC,2017-11-20,1
AC,2017-11-22,1
AC,2017-11-23,1
AC,2017-11-24,1
AC,2017-11-25,1
AC,2017-12-03,1
AC,2017-12-11,1
AC,2017-12-14,1
AC,2017-12-26,1
AC,2017-12-27,1
AC,2017-12-31,1
AC,2018-01-05,1
AC,2018-01-07,1
AC,2018-01-12,1
AC,2018-01-19,1
AC,2018-01-25,1
AC,2018-01-26,1
AC,2018-02-01,1
AC,2018-02-02,1
AC,2018-02-12,2
AC,2018-02-22,1
AC,2018-02-24,1
AC,2018-03-01,1
AC,2018-03-07,1
AC,2018-03-16,1
AC,2018-03-17,2
AC,2018-03-19,1
AC,2018-03-21,1
AC,2018-04-08,1
AC,2018-04-20,1
AC,2018-04-24,3
AC,2018-04-25,2
AC,2018-05-03,2
AC,2018-05-13,1
AC,2018-05-15,1
AC,2018-06-12,1
AC,2018-06-15,1
AC,2018-07-02,1
AC,2018-07-20,1
AC,2018-07-21,1
AC,2018-07-31,1
AC,2018-08-10,1
AC,2018-08-12,1
AC,2018-08-14,1
AC,2018-08-25,1
AL,2016-10-05,1
AL,2016-10-09,1
AL,2016-10-10,1
AL,2017-01-24,1
AL,2017-01-28,1
AL,2017-02-02,2
AL,2017-02-04,1
AL,2017-02-07,1
AL,2017-02-09,1
AL,2017-02-13,1
AL,2017-02-14,1
AL,2017-02-15,1
AL,2017-02-16,1
AL,2017-02-17,2
AL,2017-02-18,1
AL,2017-02-20,2
AL,2017-03-02,1
AL,2017-03-06,1
AL,2017-03-08,1
AL,2017-03-11,1
AL,2017-03-12,1
AL,2017-03-18,1
AL,2017-03-19,1
AL,2017-03-20,1
AL,2017-03-31,1
AL,2017-04-02,1
AL,2017-04-06,1
AL,2017-04-19,1
AL,2017-04-22,1
AL,2017-04-23,1
AL,2017-04-26,2
AL,2017-05-01,1
AL,2017-05-04,1
AL,2017-05-05,1
AL,2017-05-06,1
AL,2017-05-10,2
AL,2017-05-12,1
AL,2017-05-13,1
AL,2017-05-14,1
AL,2017-05-15,1
AL,2017-05-16,1
AL,2017-05-17,2
AL,2017-05-18,1
AL,2017-05-19,2
AL,2017-05-21,2
AL,2017-05-22,1
AL,2017-05-23,1
AL,2017-05-24,1
AL,2017-05-25,1
AL,2017-05-29,1
AL,2017-05-31,1
AL,2017-06-01,1
AL,2017-06-02,1
AL,2017-06-07,2
AL,2017-06-10,1
AL,2017-06-12,1
AL,2017-06-13,1
AL,2017-06-15,1
AL,2017-06-19,1
AL,2017-06-25,1
AL,2017-06-27,2
AL,2017-06-28,1
AL,2017-07-02,1
AL,2017-07-05,1
AL,2017-07-06,1
AL,2017-07-07,1
AL,2017-07-08,1
AL,2017-07-10,1
AL,2017-07-12,1
AL,2017-07-14,2
AL,2017-07-15,1
AL,2017-07-19,2
AL,2017-07-24,1
AL,2017-07-26,1
AL,2017-07-27,1
AL,2017-08-04,1
AL,2017-08-08,1
AL,2017-08-12,1
AL,2017-08-15,3
AL,2017-08-17,2
AL,2017-08-20,2
AL,2017-08-24,1
AL,2017-08-25,1
AL,2017-08-28,1
AL,2017-08-29,1
AL,2017-08-30,1
AL,2017-08-31,2
AL,2017-09-03,1
AL,2017-09-04,2
AL,2017-09-05,1
AL,2017-09-06,1
AL,2017-09-07,1
AL,2017-09-08,1
AL,2017-09-09,2
AL,2017-09-11,3
AL,2017-09-12,1
AL,2017-09-13,2
AL,2017-09-14,1
AL,2017-09-15,1
AL,2017-09-17,1
AL,2017-09-18,2
AL,2017-09-22,1
AL,2017-09-23,1
AL,2017-09-24,1
AL,2017-09-25,1
AL,2017-09-26,1
AL,2017-09-28,1
AL,2017-09-29,1
AL,2017-10-01,1
AL,2017-10-02,2
AL,2017-10-07,1
AL,2017-10-09,1
AL,2017-10-10,1
AL,2017-10-11,1
AL,2017-10-12,2
AL,2017-10-13,1
AL,2017-10-15,1
AL,2017-10-16,1
AL,2017-10-18,1
AL,2017-10-19,2
AL,2017-10-20,1
AL,2017-10-21,1
AL,2017-10-26,2
AL,2017-10-28,1
AL,2017-10-29,1
AL,2017-11-01,1
AL,2017-11-02,1
AL,2017-11-04,1
AL,2017-11-05,1
AL,2017-11-06,2
AL,2017-11-08,1
AL,2017-11-09,2
AL,2017-11-12,1
AL,2017-11-16,3
AL,2017-11-17,2
AL,2017-11-18,1
AL,2017-11-20,1
AL,2017-11-22,3
AL,2017-11-24,6
AL,2017-11-25,2
AL,2017-11-26,2
AL,2017-11-27,3
AL,2017-11-29,4
AL,2017-11-30,2
AL,2017-12-01,1
AL,2017-12-03,2
AL,2017-12-04,1
AL,2017-12-05,1
AL,2017-12-06,1
AL,2017-12-08,1
AL,2017-12-09,3
AL,2017-12-13,1
AL,2017-12-15,2
AL,2017-12-16,1
AL,2017-12-18,1
AL,2017-12-22,2
AL,2017-12-28,1
AL,2017-12-29,2
AL,2017-12-31,2
AL,2018-01-01,1
AL,2018-01-03,1
AL,2018-01-04,2
AL,2018-01-05,1
AL,2018-01-07,3
AL,2018-01-08,3
AL,2018-01-09,3
AL,2018-01-10,1
AL,2018-01-11,3
AL,2018-01-12,1
AL,2018-01-13,1
AL,2018-01-15,1
AL,2018-01-16,1
AL,2018-01-17,2
AL,2018-01-18,1
AL,2018-01-19,1
AL,2018-01-20,3
AL,2018-01-22,2
AL,2018-01-23,1
AL,2018-01-24,3
AL,2018-01-25,2
AL,2018-01-31,1
AL,2018-02-01,1
AL,2018-02-02,1
AL,2018-02-03,1
AL,2018-02-04,2
AL,2018-02-07,1
AL,2018-02-08,4
AL,2018-02-10,1
AL,2018-02-11,1
AL,2018-02-12,2
AL,2018-02-13,2
AL,2018-02-16,1
AL,2018-02-17,1
AL,2018-02-18,2
AL,2018-02-19,2
AL,2018-02-24,3
AL,2018-02-25,1
AL,2018-02-26,2
AL,2018-02-27,1
AL,2018-02-28,2
AL,2018-03-05,1
AL,2018-03-06,2
AL,2018-03-09,2
AL,2018-03-13,1
AL,2018-03-14,1
AL,2018-03-15,1
AL,2018-03-16,2
AL,2018-03-17,1
AL,2018-03-18,1
AL,2018-03-19,1
AL,2018-03-20,2
AL,2018-03-21,3
AL,2018-03-24,1
AL,2018-03-25,2
AL,2018-03-26,2
AL,2018-03-27,1
AL,2018-03-28,1
AL,2018-03-29,4
AL,2018-03-30,1
AL,2018-03-31,1
AL,2018-04-01,1
AL,2018-04-02,1
AL,2018-04-03,1
AL,2018-04-05,2
AL,2018-04-09,3
AL,2018-04-13,1
AL,2018-04-16,1
AL,2018-04-17,4
AL,2018-04-18,2
AL,2018-04-19,1
AL,2018-04-20,1
AL,2018-04-21,1
AL,2018-04-23,2
AL,2018-04-24,2
AL,2018-04-25,2
AL,2018-04-26,2
AL,2018-04-28,1
AL,2018-05-01,2
AL,2018-05-03,1
AL,2018-05-05,1
AL,2018-05-06,2
AL,2018-05-07,2
AL,2018-05-10,1
AL,2018-05-13,1
AL,2018-05-15,3
AL,2018-05-16,1
AL,2018-05-18,1
AL,2018-05-19,2
AL,2018-05-20,1
AL,2018-05-25,1
AL,2018-05-29,1
AL,2018-06-05,1
AL,2018-06-06,1
AL,2018-06-10,1
AL,2018-06-11,3
AL,2018-06-13,1
AL,2018-06-14,1
AL,2018-06-17,1
AL,2018-06-18,1
AL,2018-06-19,1
AL,2018-06-21,2
AL,2018-06-22,1
AL,2018-06-23,1
AL,2018-06-24,1
AL,2018-06-25,1
AL,2018-06-26,1
AL,2018-06-28,1
AL,2018-07-01,3
AL,2018-07-06,1
AL,2018-07-09,1
AL,2018-07-10,1
AL,2018-07-15,3
AL,2018-07-16,1
AL,2018-07-17,1
AL,2018-07-18,1
AL,2018-07-19,4
AL,2018-07-21,4
AL,2018-07-22,1
AL,2018-07-23,3
AL,2018-07-26,1
AL,2018-07-30,3
