customer_state,order_purchase_year,order_purchase_week,Total_orders
AC,2017,12,2
AC,2017,13,2
AC,2017,19,1
AC,2017,20,1
AC,2017,21,1
AC,2017,22,4
AC,2017,23,2
AC,2017,26,2
AC,2017,31,1
AC,2017,32,1
AC,2017,33,3
AC,2017,34,1
AC,2017,35,2
AC,2017,37,1
AC,2017,40,1
AC,2017,41,1
AC,2017,42,1
AC,2017,43,2
AC,2017,44,1
AC,2017,45,1
AC,2017,46,2
AC,2017,47,5
AC,2017,48,1
AC,2017,50,2
AC,2017,52,3
AC,2018,1,2
AC,2018,10,1
AC,2018,11,3
AC,2018,12,2
AC,2018,14,1
AC,2018,16,1
AC,2018,17,5
AC,2018,18,2
AC,2018,19,1
AC,2018,2,1
AC,2018,20,1
AC,2018,24,2
AC,2018,27,1
AC,2018,29,2
AC,2018,3,1
AC,2018,31,1
AC,2018,32,2
AC,2018,33,1
AC,2018,34,1
AC,2018,4,2
AC,2018,5,2
AC,2018,7,2
AC,2018,8,2
AC,2018,9,1
AL,2016,40,2
AL,2016,41,1
AL,2017,10,4
AL,2017,11,2
AL,2017,12,1
AL,2017,13,2
AL,2017,14,1
AL,2017,16,3
AL,2017,17,2
AL,2017,18,4
AL,2017,19,5
AL,2017,20,9
AL,2017,21,4
AL,2017,22,4
AL,2017,23,3
AL,2017,24,3
AL,2017,25,2
AL,2017,26,4
AL,2017,27,4
AL,2017,28,5
AL,2017,29,2
AL,2017,30,3
AL,2017,31,1
AL,2017,32,2
AL,2017,33,7
AL,2017,34,2
AL,2017,35,6
AL,2017,36,8
AL,2017,37,9
AL,2017,38,5
AL,2017,39,5
AL,2017,4,2
AL,2017,40,3
AL,2017,41,7
AL,2017,42,6
AL,2017,43,4
AL,2017,44,4
AL,2017,45,6
AL,2017,46,6
AL,2017,47,14
AL,2017,48,12
AL,2017,49,7
AL,2017,5,3
AL,2017,50,4
AL,2017,51,3
AL,2017,52,5
AL,2017,6,2
AL,2017,7,7
AL,2017,8,2
AL,2017,9,1
AL,2018,1,8
AL,2018,10,5
AL,2018,11,7
AL,2018,12,9
AL,2018,13,11
AL,2018,14,4
AL,2018,15,4
AL,2018,16,10
AL,2018,17,9
AL,2018,18,6
AL,2018,19,4
AL,2018,2,12
AL,2018,20,8
AL,2018,21,1
AL,2018,22,1
AL,2018,23,3
AL,2018,24,6
AL,2018,25,7
AL,2018,26,6
AL,2018,27,1
AL,2018,28,5
AL,2018,29,12
AL,2018,3,9
AL,2018,30,4
AL,2018,31,11
AL,2018,32,6
AL,2018,33,6
AL,2018,34,5
AL,2018,35,1
AL,2018,4,8
AL,2018,5,6
AL,2018,6,7
AL,2018,7,8
AL,2018,8,6
AL,2018,9,5
AM,2017,10,2
AM,2017,18,2
AM,2017,19,1
AM,2017,2,1
AM,2017,20,2
AM,2017,21,1
AM,2017,22,1
AM,2017,23,3
AM,2017,25,1
AM,2017,26,1
AM,2017,29,1
AM,2017,30,2
AM,2017,31,3
AM,2017,32,4
AM,2017,33,1
AM,2017,34,1
AM,2017,35,1
AM,2017,36,1
AM,2017,37,2
AM,2017,39,1
AM,2017,4,1
AM,2017,40,1
AM,2017,41,2
AM,2017,43,2
AM,2017,44,1
AM,2017,45,2
AM,2017,46,1
AM,2017,47,7
AM,2017,48,3
AM,2017,49,5
AM,2017,50,1
AM,2017,51,1
AM,2017,9,3
AM,2018,1,3
AM,2018,10,2
AM,2018,11,3
AM,2018,12,4
AM,2018,14,1
AM,2018,15,3
AM,2018,16,5
AM,2018,17,2
AM,2018,18,1
AM,2018,19,3
AM,2018,2,4
AM,2018,20,4
AM,2018,21,3
AM,2018,23,2
AM,2018,24,3
AM,2018,25,4
AM,2018,26,2
AM,2018,27,4
AM,2018,29,5
AM,2018,3,1
AM,2018,30,2
AM,2018,31,5
AM,2018,32,4
AM,2018,33,2
AM,2018,34,2
AM,2018,4,2
AM,2018,5,4
AM,2018,6,1
AM,2018,7,5
AM,2018,8,3
AM,2018,9,3
AP,2017,15,1
AP,2017,16,1
AP,2017,21,2
AP,2017,22,1
AP,2017,23,4
AP,2017,26,1
AP,2017,30,1
AP,2017,32,1
AP,2017,34,2
AP,2017,35,2
AP,2017,36,1
AP,2017,38,1
AP,2017,39,2
AP,2017,40,1
AP,2017,42,2
AP,2017,45,1
AP,2017,47,3
AP,2017,48,3
AP,2017,5,1
AP,2017,51,1
AP,2017,52,1
AP,2017,6,1
AP,2017,7,1
AP,2018,10,3
AP,2018,11,1
AP,2018,14,4
AP,2018,15,2
AP,2018,16,1
AP,2018,19,1
AP,2018,2,3
AP,2018,22,2
AP,2018,23,4
AP,2018,24,1
AP,2018,28,1
AP,2018,29,2
AP,2018,31,1
AP,2018,32,1
AP,2018,33,2
AP,2018,34,2
AP,2018,4,1
AP,2018,7,1
AP,2018,8,1
AP,2018,9,1
BA,2016,37,1
BA,2016,40,13
BA,2016,41,2
BA,2017,1,2
BA,2017,10,16
BA,2017,11,12
BA,2017,12,25
BA,2017,13,23
BA,2017,14,16
BA,2017,15,19
BA,2017,16,17
BA,2017,17,25
BA,2017,18,32
BA,2017,19,29
BA,2017,2,4
BA,2017,20,41
BA,2017,21,24
BA,2017,22,36
BA,2017,23,27
BA,2017,24,29
BA,2017,25,26
BA,2017,26,27
BA,2017,27,26
BA,2017,28,36
BA,2017,29,25
BA,2017,3,11
BA,2017,30,36
BA,2017,31,34
BA,2017,32,39
BA,2017,33,39
BA,2017,34,21
BA,2017,35,42
BA,2017,36,29
BA,2017,37,31
BA,2017,38,36
BA,2017,39,29
BA,2017,4,14
BA,2017,40,27
BA,2017,41,34
BA,2017,42,45
BA,2017,43,30
BA,2017,44,37
BA,2017,45,57
BA,2017,46,46
BA,2017,47,108
BA,2017,48,70
BA,2017,49,69
BA,2017,5,13
BA,2017,50,49
BA,2017,51,32
BA,2017,52,41
BA,2017,6,14
BA,2017,7,11
BA,2017,8,15
BA,2017,9,18
BA,2018,1,50
BA,2018,10,50
BA,2018,11,54
BA,2018,12,60
BA,2018,13,61
BA,2018,14,56
BA,2018,15,37
BA,2018,16,49
BA,2018,17,59
BA,2018,18,59
BA,2018,19,74
BA,2018,2,66
BA,2018,20,65
BA,2018,21,30
BA,2018,22,45
BA,2018,23,51
BA,2018,24,48
BA,2018,25,45
BA,2018,26,42
BA,2018,27,38
BA,2018,28,43
BA,2018,29,46
BA,2018,3,62
BA,2018,30,69
BA,2018,31,72
BA,2018,32,73
BA,2018,33,51
BA,2018,34,44
BA,2018,35,2
BA,2018,4,55
BA,2018,5,68
BA,2018,6,68
BA,2018,7,54
BA,2018,8,62
BA,2018,9,65
CE,2016,37,1
CE,2016,40,4
CE,2017,1,1
CE,2017,10,5
CE,2017,11,5
CE,2017,12,10
CE,2017,13,8
CE,2017,14,5
CE,2017,15,8
CE,2017,16,4
CE,2017,17,10
CE,2017,18,12
CE,2017,19,21
CE,2017,2,2
CE,2017,20,16
CE,2017,21,12
CE,2017,22,9
CE,2017,23,13
CE,2017,24,13
CE,2017,25,6
CE,2017,26,11
CE,2017,27,10
CE,2017,28,13
CE,2017,29,12
CE,2017,3,4
CE,2017,30,14
CE,2017,31,13
CE,2017,32,22
CE,2017,33,17
CE,2017,34,14
CE,2017,35,10
CE,2017,36,12
CE,2017,37,15
CE,2017,38,8
CE,2017,39,19
CE,2017,4,6
CE,2017,40,17
CE,2017,41,21
CE,2017,42,16
CE,2017,43,11
CE,2017,44,4
CE,2017,45,13
CE,2017,46,21
CE,2017,47,34
CE,2017,48,29
CE,2017,49,22
CE,2017,5,9
CE,2017,50,13
CE,2017,51,16
CE,2017,52,15
CE,2017,6,10
CE,2017,7,6
CE,2017,8,6
CE,2017,9,8
CE,2018,1,18
CE,2018,10,23
CE,2018,11,25
CE,2018,12,19
CE,2018,13,18
CE,2018,14,29
CE,2018,15,13
CE,2018,16,21
CE,2018,17,23
CE,2018,18,20
CE,2018,19,30
CE,2018,2,30
CE,2018,20,31
CE,2018,21,9
CE,2018,22,10
CE,2018,23,18
CE,2018,24,20
CE,2018,25,18
CE,2018,26,20
CE,2018,27,14
CE,2018,28,15
CE,2018,29,21
CE,2018,3,23
CE,2018,30,16
CE,2018,31,29
CE,2018,32,20
CE,2018,33,19
CE,2018,34,15
CE,2018,35,4
CE,2018,4,19
CE,2018,5,18
CE,2018,6,23
CE,2018,7,21
CE,2018,8,22
CE,2018,9,29
DF,2016,40,8
DF,2017,1,1
DF,2017,10,6
DF,2017,11,14
DF,2017,12,15
DF,2017,13,12
DF,2017,14,10
DF,2017,15,10
DF,2017,16,11
DF,2017,17,9
DF,2017,18,19
DF,2017,19,18
DF,2017,2,4
DF,2017,20,23
DF,2017,21,12
DF,2017,22,18
DF,2017,23,24
DF,2017,24,17
DF,2017,25,18
DF,2017,26,17
DF,2017,27,20
DF,2017,28,17
DF,2017,29,16
DF,2017,3,5
DF,2017,30,18
DF,2017,31,19
DF,2017,32,31
DF,2017,33,19
DF,2017,34,24
DF,2017,35,24
DF,2017,36,16
DF,2017,37,23
DF,2017,38,19
DF,2017,39,25
DF,2017,4,7
DF,2017,40,21
DF,2017,41,16
DF,2017,42,23
DF,2017,43,21
DF,2017,44,14
DF,2017,45,21
DF,2017,46,26
DF,2017,47,56
DF,2017,48,48
DF,2017,49,25
DF,2017,5,14
DF,2017,50,35
DF,2017,51,19
DF,2017,52,13
DF,2017,6,14
DF,2017,7,5
DF,2017,8,4
DF,2017,9,10
DF,2018,1,22
DF,2018,10,33
DF,2018,11,28
DF,2018,12,46
DF,2018,13,31
DF,2018,14,45
DF,2018,15,40
DF,2018,16,39
DF,2018,17,43
DF,2018,18,37
DF,2018,19,45
DF,2018,2,33
DF,2018,20,40
DF,2018,21,28
DF,2018,22,20
DF,2018,23,31
DF,2018,24,32
DF,2018,25,27
DF,2018,26,29
DF,2018,27,24
DF,2018,28,24
DF,2018,29,37
DF,2018,3,35
DF,2018,30,18
DF,2018,31,34
DF,2018,32,44
