order_purchase_year,order_purchase_week,Total_orderss
2016,35,1
2016,36,1
2016,37,2
2016,39,1
2016,40,285
2016,41,39
2016,42,1
2016,51,1
2017,1,46
2017,10,585
2017,11,617
2017,12,655
2017,13,565
2017,14,590
2017,15,444
2017,16,577
2017,17,675
2017,18,793
2017,19,804
2017,2,80
2017,20,946
2017,21,786
2017,22,842
2017,23,852
2017,24,760
2017,25,664
2017,26,738
2017,27,844
2017,28,963
2017,29,967
2017,3,198
2017,30,930
2017,31,991
2017,32,943
2017,33,1051
2017,34,895
2017,35,1011
2017,36,911
2017,37,1169
2017,38,1003
2017,39,968
2017,4,354
2017,40,1001
2017,41,1074
2017,42,1152
2017,43,985
2017,44,948
2017,45,1223
2017,46,1321
2017,47,3022
2017,48,2110
2017,49,1698
2017,5,470
2017,50,1406
2017,51,982
2017,52,880
2017,6,554
2017,7,415
2017,8,380
2017,9,501
2018,1,1393
2018,10,1661
2018,11,1604
2018,12,1726
2018,13,1482
2018,14,1600
2018,15,1561
2018,16,1681
2018,17,1684
2018,18,1777
2018,19,1998
2018,2,1795
2018,20,1851
2018,21,958
2018,22,1094
2018,23,1447
2018,24,1529
2018,25,1465
2018,26,1411
2018,27,1202
2018,28,1005
2018,29,1682
2018,3,1766
2018,30,1658
2018,31,2069
2018,32,2000
2018,33,1883
2018,34,1072
2018,35,131
2018,36,7
2018,37,4
2018,38,2
2018,39,3
2018,4,1602
2018,40,2
2018,42,2
2018,5,1607
2018,6,1594
2018,7,1645
2018,8,1765
2018,9,1911
