customer_city,order_purchase_date,Total_sales
ALMIRANTE TAMANDARE DO SUL,2017-10-26,65.0
ALMIRANTE TAMANDARE DO SUL,2018-07-02,123.27
ALTA FLORESTA D'OESTE,2017-11-25,387.76
ALTA FLORESTA D'OESTE,2018-01-06,411.17
ALTO ALEGRE DOS PARECIS,2017-11-13,345.95
ALTO ALEGRE DOS PARECIS,2017-11-25,345.96
ALTO ALEGRE DOS PARECIS,2018-01-28,359.01
ALVORADA D'OESTE,2017-10-23,790.08
ALVORADA D'OESTE,2018-03-01,381.02
Abadia dos Dourados,2017-05-15,219.63
Abadia dos Dourados,2018-06-15,58.28
Abadia dos Dourados,2018-08-13,135.59
Abadiania,2018-03-01,1025.52
Abadiania,2018-07-23,85.14
Abaete,2016-10-04,271.43
Abaete,2017-07-25,50.269999999999996
Abaete,2017-08-02,84.64999999999999
Abaete,2018-03-26,466.89
Abaete,2018-04-18,139.6
Abaete,2018-06-13,220.97
Abaete,2018-06-21,72.14
Abaete,2018-07-24,43.17
Abaetetuba,2017-06-14,619.65
Abaetetuba,2017-09-22,66.72
Abaetetuba,2017-10-15,62.83
Abaetetuba,2017-11-16,64.05
Abaetetuba,2017-12-12,167.72
Abaetetuba,2018-01-04,203.08
Abaetetuba,2018-04-13,1537.04
Abaetetuba,2018-07-03,114.69999999999999
Abaetetuba,2018-08-07,283.66
Abaetetuba,2018-08-17,92.83
Abaetetuba,2018-08-19,111.0
Abaetetuba,2018-08-22,69.53
Abaiara,2018-08-08,333.39
Abaira,2018-08-10,35.05
Abare,2017-12-22,166.48
Abatia,2017-11-05,69.32
Abatia,2018-08-06,107.78
Abdon Batista,2017-01-24,107.78
Abdon Batista,2018-05-09,78.35000000000001
Abdon Batista,2018-07-04,78.35000000000001
Abel Figueiredo,2017-08-07,47.62
Abel Figueiredo,2017-12-28,324.82
Abelardo Luz,2017-09-15,411.21
Abelardo Luz,2017-11-27,76.66
Abelardo Luz,2017-12-02,69.44
Abelardo Luz,2018-04-11,201.84
Abelardo Luz,2018-04-21,45.0
