customer_city,order_purchase_year,order_purchase_week,Total_sales
ALMIRANTE TAMANDARE DO SUL,2017,43,65.0
ALMIRANTE TAMANDARE DO SUL,2018,27,123.27
ALTA FLORESTA D'OESTE,2017,47,387.76
ALTA FLORESTA D'OESTE,2018,1,411.17
ALTO ALEGRE DOS PARECIS,2017,46,345.95
ALTO ALEGRE DOS PARECIS,2017,47,345.96
ALTO ALEGRE DOS PARECIS,2018,4,359.01
ALVORADA D'OESTE,2017,43,790.08
ALVORADA D'OESTE,2018,9,381.02
Abadia dos Dourados,2017,20,219.63
Abadia dos Dourados,2018,24,58.28
Abadia dos Dourados,2018,33,135.59
Abadiania,2018,30,85.14
Abadiania,2018,9,1025.52
Abaete,2016,40,271.43
Abaete,2017,30,50.269999999999996
Abaete,2017,31,84.64999999999999
Abaete,2018,13,466.89
Abaete,2018,16,139.6
Abaete,2018,24,220.97
Abaete,2018,25,72.14
Abaete,2018,30,43.17
Abaetetuba,2017,24,619.65
Abaetetuba,2017,38,66.72
Abaetetuba,2017,41,62.83
Abaetetuba,2017,46,64.05
Abaetetuba,2017,50,167.72
Abaetetuba,2018,1,203.08
Abaetetuba,2018,15,1537.04
Abaetetuba,2018,27,114.69999999999999
Abaetetuba,2018,32,283.66
Abaetetuba,2018,33,203.82999999999998
Abaetetuba,2018,34,69.53
Abaiara,2018,32,333.39
Abaira,2018,32,35.05
Abare,2017,51,166.48
Abatia,2017,44,69.32
Abatia,2018,32,107.78
Abdon Batista,2017,4,107.78
Abdon Batista,2018,19,78.35000000000001
Abdon Batista,2018,27,78.35000000000001
Abel Figueiredo,2017,32,47.62
Abel Figueiredo,2017,52,324.82
Abelardo Luz,2017,37,411.21
Abelardo Luz,2017,48,146.1
Abelardo Luz,2018,15,201.84
Abelardo Luz,2018,16,45.0
Abelardo Luz,2018,28,45.0
Abrantes,2017,14,561.01
Abrantes,2017,5,98.7
Abrantes,2018,23,98.03
Abrantes,2018,7,64.78999999999999
Abre Campo,2017,39,131.16
Abre Campo,2017,48,101.34
Abre Campo,2017,52,55.09
Abre Campo,2018,10,36.28
Abre Campo,2018,12,38.2
Abre Campo,2018,13,55.59
Abre Campo,2018,17,42.92
Abreu e Lima,2017,18,1078.87
Abreu e Lima,2017,30,78.65
Abreu e Lima,2017,35,68.03999999999999
Abreu e Lima,2017,49,87.17
Abreu e Lima,2017,50,74.67
Abreu e Lima,2018,16,104.11999999999999
Abreu e Lima,2018,21,74.67
Abreu e Lima,2018,23,84.87
Abreu e Lima,2018,29,88.72
Abreu e Lima,2018,6,104.83
Abreu e Lima,2018,8,115.05
Acaiaca,2018,29,162.9
Acaiaca,2018,31,45.0
Acailandia,2017,21,354.45
Acailandia,2017,22,143.01
Acailandia,2017,44,214.96
Acailandia,2017,47,53.14
Acailandia,2018,27,431.96
Acailandia,2018,30,183.84
Acarau,2017,43,44.62
Acarau,2017,44,54.739999999999995
Acarau,2017,46,108.73
Acarau,2018,12,155.05
Acarau,2018,14,281.42
Acarau,2018,23,337.44
Acarau,2018,29,108.73
Acari,2017,28,412.43
Acegua,2017,33,121.55000000000001
Acopiara,2017,15,119.03
Acopiara,2017,31,67.53
Acopiara,2017,32,426.27000000000004
Acopiara,2017,33,86.71
Acopiara,2018,21,141.17000000000002
Acopiara,2018,8,212.77
Acreuna,2017,20,346.88
Acreuna,2018,19,407.19
Acreuna,2018,23,105.28
Acreuna,2018,28,356.48
Acu,2017,28,154.17
Acu,2017,31,218.15
Acu,2018,18,89.17
Acu,2018,19,186.31
Acu,2018,20,122.22
Acu,2018,5,748.88
Acucena,2017,37,264.79
Acucena,2018,33,103.86
Acucena,2018,6,139.19
Adamantina,2017,12,68.37
Adamantina,2017,23,45.589999999999996
Adamantina,2017,30,41.839999999999996
Adamantina,2017,31,34.95
Adamantina,2017,38,257.55
Adamantina,2017,41,257.34000000000003
Adamantina,2017,43,376.17999999999995
Adamantina,2017,46,118.67999999999999
Adamantina,2017,48,68.39
Adamantina,2017,51,60.85
Adamantina,2017,7,34.75
Adamantina,2018,1,192.74
Adamantina,2018,12,127.38000000000001
Adamantina,2018,13,334.97999999999996
Adamantina,2018,14,45.85
Adamantina,2018,16,32.96
Adamantina,2018,20,169.12
Adamantina,2018,22,127.92
Adamantina,2018,28,224.98
Adamantina,2018,3,313.94
Adamantina,2018,30,70.91
Adamantina,2018,32,180.03
Adamantina,2018,33,71.42
Adamantina,2018,4,615.11
Adamantina,2018,5,92.71
Adhemar de Barros,2017,46,166.29
Adolfo,2017,28,243.81
Adolfo,2018,15,123.43
Adolfo,2018,19,80.87
Adolfo,2018,9,346.84000000000003
Adrianopolis,2017,44,117.94
Adrianopolis,2018,11,89.17
Adustina,2017,22,359.20000000000005
Adustina,2017,52,55.79
Adustina,2018,17,102.27
Afogados da Ingazeira,2017,11,66.09
Afogados da Ingazeira,2017,24,230.0
Afogados da Ingazeira,2017,27,623.68
Afogados da Ingazeira,2017,42,118.02
Afogados da Ingazeira,2017,45,102.07
Afogados da Ingazeira,2018,2,51.53
Afogados da Ingazeira,2018,4,410.56
Afogados da Ingazeira,2018,8,1434.07
Afonso Bezerra,2017,48,379.11
Afonso Claudio,2017,10,55.0
Afonso Claudio,2017,36,81.13999999999999
Afonso Claudio,2017,39,76.88
Afonso Claudio,2017,42,64.1
Afonso Claudio,2017,43,321.15
Afonso Claudio,2017,46,871.19
Afonso Claudio,2017,6,40.089999999999996
Afonso Claudio,2018,13,169.51
Afonso Claudio,2018,26,131.46
Afonso Claudio,2018,3,101.34
Afonso Claudio,2018,9,87.61999999999999
Afranio,2018,4,226.23
Agisse,2018,10,56.37
Agrolandia,2017,20,74.49
Agrolandia,2017,37,148.15
Agrolandia,2018,5,60.91
Agronomica,2017,25,23.490000000000002
Agua Azul do Norte,2018,18,97.38
Agua Boa,2017,32,66.24
Agua Boa,2017,39,524.7
Agua Boa,2018,10,137.28
Agua Boa,2018,11,334.54
Agua Boa,2018,15,169.28
Agua Boa,2018,16,169.01
Agua Boa,2018,17,67.82
Agua Boa,2018,19,28.78
Agua Boa,2018,20,258.46999999999997
Agua Boa,2018,22,367.53
Agua Boa,2018,29,621.76
Agua Boa,2018,4,301.81
Agua Boa,2018,8,61.9
Agua Boa,2018,9,36.989999999999995
Agua Branca,2018,12,195.89999999999998
Agua Branca,2018,13,209.48000000000002
Agua Branca,2018,23,117.1
Agua Clara,2017,36,562.02
Agua Clara,2018,26,107.78
Agua Comprida,2017,50,44.0
Agua Comprida,2018,25,96.65
Agua Comprida,2018,6,140.52
Agua Doce,2018,11,542.01
Agua Doce,2018,13,753.11
Agua Doce,2018,32,113.76
Agua Doce do Norte,2017,32,184.26
Agua Doce do Norte,2017,45,114.9
Agua Doce do Norte,2017,52,160.55
Agua Doce do Norte,2018,22,43.42
Agua Doce do Norte,2018,34,272.32
Agua Fria,2017,33,56.79
Agua Fria de Goias,2018,20,361.06
Agua Limpa,2017,49,416.8
Agua Nova,2017,48,77.67
Agua Preta,2017,52,147.34
Agua Santa,2018,23,181.73000000000002
Agua Santa,2018,30,116.84
Agua Santa,2018,31,82.60000000000001
Agua Vermelha,2017,21,327.9
Aguai,2017,23,57.69
Aguai,2017,27,1125.58
Aguai,2017,33,49.95
Aguai,2017,46,294.54
Aguai,2018,11,157.45
Aguai,2018,13,120.89999999999999
Aguai,2018,20,93.82000000000001
Aguai,2018,29,26.75
Aguai,2018,4,139.15
Aguai,2018,7,593.16
Aguai,2018,8,32.589999999999996
Aguas Belas,2017,11,238.38
Aguas Belas,2017,22,138.17000000000002
Aguas Belas,2017,35,94.76
Aguas Belas,2018,2,90.84
Aguas Claras,2017,35,322.53
Aguas Claras,2018,27,96.71000000000001
Aguas Formosas,2017,23,51.22
Aguas Formosas,2017,45,33.42
Aguas Formosas,2018,14,74.07
Aguas Formosas,2018,25,165.6
Aguas Formosas,2018,5,105.23
Aguas Lindas de Goias,2016,40,288.17
Aguas Lindas de Goias,2017,11,165.48
Aguas Lindas de Goias,2017,19,137.97
Aguas Lindas de Goias,2017,28,60.68
Aguas Lindas de Goias,2017,34,151.03
Aguas Lindas de Goias,2017,38,40.07
Aguas Lindas de Goias,2017,48,69.5
Aguas Lindas de Goias,2018,14,259.84000000000003
Aguas Lindas de Goias,2018,15,147.0
Aguas Lindas de Goias,2018,20,351.66
Aguas Lindas de Goias,2018,23,96.57
Aguas Lindas de Goias,2018,26,54.230000000000004
Aguas Lindas de Goias,2018,31,63.1
Aguas Lindas de Goias,2018,33,31.11
Aguas Lindas de Goias,2018,4,65.0
Aguas Lindas de Goias,2018,7,118.11
Aguas Lindas de Goias,2018,9,95.64999999999999
Aguas Mornas,2017,39,104.52000000000001
Aguas Mornas,2017,8,169.56
Aguas Vermelhas,2017,44,251.29000000000002
Aguas Vermelhas,2018,21,387.6
Aguas Vermelhas,2018,24,64.1
Aguas Vermelhas,2018,30,85.14
Aguas da Prata,2017,20,102.13
Aguas da Prata,2017,23,46.66
Aguas da Prata,2017,35,55.0
Aguas da Prata,2018,20,351.01
Aguas da Prata,2018,25,519.14
Aguas da Prata,2018,9,66.89
Aguas de Lindoia,2017,17,175.57
Aguas de Lindoia,2017,21,212.73000000000002
Aguas de Lindoia,2017,38,674.3
Aguas de Lindoia,2017,45,128.04000000000002
Aguas de Lindoia,2017,46,166.23000000000002
Aguas de Lindoia,2017,47,67.83
Aguas de Lindoia,2018,12,82.14
Aguas de Lindoia,2018,13,119.48
Aguas de Lindoia,2018,14,263.8
Aguas de Lindoia,2018,17,190.5
Aguas de Lindoia,2018,19,68.89
Aguas de Lindoia,2018,20,319.99
Aguas de Lindoia,2018,22,95.78
Aguas de Lindoia,2018,26,42.75
Aguas de Lindoia,2018,27,92.88
Aguas de Lindoia,2018,33,65.87
Aguas de Lindoia,2018,7,100.22
Aguas de Santa Barbara,2017,12,837.76
Aguas de Santa Barbara,2017,19,102.87
Aguas de Santa Barbara,2017,38,67.0
Aguas de Santa Barbara,2017,40,311.96
Aguas de Santa Barbara,2017,48,214.32
Aguas de Santa Barbara,2018,16,165.78
Aguas de Santa Barbara,2018,21,255.04
Aguas de Santa Barbara,2018,31,42.87
Aguas de Santa Barbara,2018,7,32.96
Aguas de Sao Pedro,2018,29,61.09
Aguas de Sao Pedro,2018,5,242.94
Aguas de Sao Pedro,2018,8,319.45
Agudo,2017,51,32.1
Agudo,2018,35,58.09
Agudos,2017,10,77.03
Agudos,2017,20,141.48
Agudos,2017,22,55.09
Agudos,2017,35,50.37
Agudos,2017,38,262.14
Agudos,2017,41,51.79
Agudos,2017,44,102.96
Agudos,2017,48,83.5
Agudos,2017,49,123.5
Agudos,2018,10,70.89
Agudos,2018,12,86.08000000000001
Agudos,2018,16,91.96000000000001
Agudos,2018,2,203.68
Agudos,2018,26,451.56
Agudos,2018,29,103.06
Agudos,2018,31,183.63
Agudos,2018,32,84.24
Agudos,2018,33,32.69
Agudos,2018,34,29.99
Agudos,2018,8,140.41
Aguia Branca,2018,15,29.0
Aimores,2017,23,117.94
Aimores,2017,41,157.33999999999997
Aimores,2017,48,69.97
Aimores,2018,10,42.269999999999996
Aimores,2018,15,214.56
Aimores,2018,18,91.19
Aimores,2018,19,174.75
Aimores,2018,31,54.379999999999995
Aimores,2018,4,62.01
Aiquara,2018,31,46.69
Aiquara,2018,6,233.81
Aiuaba,2018,18,64.05
Aiuruoca,2017,31,65.31
Aiuruoca,2017,8,72.14
Aiuruoca,2018,20,65.0
Aiuruoca,2018,31,162.57999999999998
Ajapi,2017,46,121.34
Ajuricaba,2017,37,133.61
Ajuricaba,2018,13,115.35000000000001
Ajuricaba,2018,30,57.23
Alagoa,2018,16,47.92
Alagoa,2018,23,631.2
Alagoa Grande,2018,25,224.0
Alagoa Grande,2018,29,178.52
Alagoinha,2017,18,65.05
Alagoinha,2018,16,246.78
Alagoinha,2018,25,274.47
Alagoinha do Piaui,2017,50,97.87
Alagoinha do Piaui,2018,21,375.53
Alagoinhas,2017,12,239.28
Alagoinhas,2017,13,143.65
Alagoinhas,2017,18,303.81000000000006
Alagoinhas,2017,22,229.75
Alagoinhas,2017,23,108.10000000000001
Alagoinhas,2017,31,376.28999999999996
Alagoinhas,2017,32,70.7
Alagoinhas,2017,33,185.68
Alagoinhas,2017,36,170.71
Alagoinhas,2017,40,58.18
Alagoinhas,2017,41,330.13
Alagoinhas,2017,43,137.21
Alagoinhas,2017,45,141.77
Alagoinhas,2017,47,417.38
Alagoinhas,2017,9,294.4
Alagoinhas,2018,1,569.9200000000001
Alagoinhas,2018,11,46.92
Alagoinhas,2018,13,106.97
Alagoinhas,2018,17,175.54999999999998
Alagoinhas,2018,19,499.94
Alagoinhas,2018,22,282.85
Alagoinhas,2018,23,142.67000000000002
Alagoinhas,2018,24,112.11999999999999
Alagoinhas,2018,29,65.78999999999999
Alagoinhas,2018,30,811.6999999999999
Alagoinhas,2018,31,153.68
Alagoinhas,2018,32,68.63
Alagoinhas,2018,33,46.92
Alagoinhas,2018,5,805.06
Alagoinhas,2018,9,241.8
Alambari,2017,16,82.82
Alambari,2018,6,617.98
Alcantara,2017,36,308.3
Alcantara,2018,29,889.6600000000001
Alcinopolis,2017,12,73.49
Alcinopolis,2017,21,36.22
Alcinopolis,2017,45,323.68
Alcinopolis,2018,4,38.04
Alcinopolis,2018,6,41.089999999999996
Alcinopolis,2018,9,131.69
Alcobaca,2018,3,519.84
Alecrim,2017,33,161.46
Alegre,2017,18,495.26
Alegre,2017,28,117.85000000000001
Alegre,2017,31,324.2
Alegre,2017,45,356.84
Alegre,2017,5,213.71
Alegre,2017,50,231.27
Alegre,2017,7,369.97
Alegre,2018,10,354.01
Alegre,2018,11,353.25
Alegre,2018,12,55.31
Alegre,2018,16,146.60000000000002
Alegre,2018,20,175.87
Alegre,2018,24,200.35
Alegre,2018,3,417.15999999999997
Alegre,2018,30,133.28
Alegre,2018,31,256.67
Alegre,2018,33,200.35
Alegre,2018,34,162.91000000000003
Alegre,2018,4,116.94
Alegre,2018,5,252.85
Alegre,2018,6,268.9
Alegre,2018,8,90.47
Alegrete,2017,10,417.55
Alegrete,2017,14,154.85
Alegrete,2017,16,986.6
Alegrete,2017,21,122.97
Alegrete,2017,26,393.06999999999994
Alegrete,2017,27,72.14
Alegrete,2017,33,149.49
Alegrete,2017,37,41.089999999999996
Alegrete,2017,44,428.1
Alegrete,2017,50,149.82999999999998
Alegrete,2017,52,178.9
Alegrete,2018,1,278.42
Alegrete,2018,13,183.67999999999998
Alegrete,2018,14,148.98000000000002
Alegrete,2018,15,485.4
Alegrete,2018,20,30.0
Alegrete,2018,32,29.0
Alegrete,2018,4,1512.41
Alegrete,2018,7,145.18
Alegrete,2018,8,210.60000000000002
Alem Paraiba,2017,11,725.4
Alem Paraiba,2017,17,65.0
Alem Paraiba,2017,23,60.0
Alem Paraiba,2017,29,75.07
Alem Paraiba,2017,41,585.7
Alem Paraiba,2017,43,136.95
Alem Paraiba,2017,47,105.28
Alem Paraiba,2017,52,181.1
Alem Paraiba,2017,9,72.14
Alem Paraiba,2018,1,58.31
Alem Paraiba,2018,10,45.93
Alem Paraiba,2018,11,90.67
Alem Paraiba,2018,12,240.63
Alem Paraiba,2018,13,123.67999999999999
Alem Paraiba,2018,16,77.57
Alem Paraiba,2018,19,148.15
Alem Paraiba,2018,2,77.57
Alem Paraiba,2018,20,104.78999999999999
Alem Paraiba,2018,21,178.64
Alem Paraiba,2018,26,36.69
Alem Paraiba,2018,29,89.38000000000001
Alem Paraiba,2018,30,354.24
