order_purchase_date,Total_sales
2016-09-04,479.76
2016-09-05,73.16
2016-09-13,118.93
2016-09-15,116.89
2016-10-02,72.14
2016-10-03,1141.52
2016-10-04,12443.69
2016-10-05,8117.52
2016-10-06,14853.29
2016-10-07,7626.54
2016-10-08,5952.52
2016-10-09,3525.82
2016-10-10,5860.2
2016-10-22,86.97
2016-12-23,126.66
2017-01-05,5775.8
2017-01-06,455.51
2017-01-07,426.85
2017-01-08,946.27
2017-01-09,643.0
2017-01-10,1039.63
2017-01-11,2171.36
2017-01-12,1350.19
2017-01-13,3225.73
2017-01-14,3063.69
2017-01-15,2643.64
2017-01-16,4784.8
2017-01-17,4897.27
2017-01-18,4984.5
2017-01-19,6868.9
2017-01-20,4679.66
2017-01-21,5106.28
2017-01-22,6260.18
2017-01-23,7641.49
2017-01-24,6204.78
2017-01-25,10131.12
2017-01-26,16800.68
2017-01-27,10142.06
2017-01-28,4298.28
2017-01-29,3754.94
2017-01-30,7474.17
2017-01-31,12789.47
2017-02-01,18175.96
2017-02-02,12793.5
2017-02-03,15788.54
2017-02-04,11366.2
2017-02-05,13495.83
2017-02-06,17753.28
2017-02-07,20958.71
2017-02-08,15236.55
2017-02-09,15094.42
2017-02-10,9675.95
2017-02-11,7444.83
2017-02-12,11231.96
2017-02-13,11874.56
2017-02-14,11864.92
2017-02-15,14542.95
2017-02-16,10073.15
2017-02-17,8106.93
2017-02-18,11997.26
2017-02-19,5230.1
2017-02-20,10233.11
2017-02-21,5442.37
2017-02-22,9112.01
2017-02-23,15966.81
2017-02-24,8889.14
2017-02-25,10949.13
2017-02-26,6384.58
2017-02-27,5479.3
2017-02-28,7768.3
2017-03-01,14500.11
2017-03-02,24436.22
2017-03-03,13064.81
2017-03-04,11648.08
2017-03-05,11087.89
2017-03-06,16525.13
2017-03-07,14347.64
2017-03-08,14573.86
2017-03-09,14029.46
2017-03-10,23751.73
2017-03-11,14299.3
2017-03-12,9708.73
2017-03-13,17941.86
2017-03-14,16361.56
2017-03-15,17001.05
2017-03-16,17442.67
2017-03-17,11828.29
2017-03-18,12171.17
2017-03-19,7807.17
2017-03-20,18045.3
2017-03-21,16386.06
2017-03-22,16101.03
2017-03-23,22669.2
2017-03-24,15896.98
2017-03-25,13661.85
2017-03-26,11787.33
2017-03-27,15509.54
2017-03-28,18557.76
2017-03-29,14219.07
2017-03-30,13709.33
2017-03-31,12227.01
2017-04-01,11096.56
2017-04-02,9548.97
2017-04-03,9555.82
2017-04-04,15784.89
2017-04-05,16956.12
2017-04-06,17578.63
2017-04-07,12041.74
2017-04-08,11855.63
2017-04-09,13938.22
2017-04-10,21649.05
2017-04-11,14799.82
2017-04-12,8918.44
2017-04-13,9881.53
2017-04-14,12953.95
2017-04-15,9483.91
2017-04-16,7813.66
2017-04-17,10681.67
2017-04-18,11491.33
2017-04-19,14867.49
2017-04-20,15226.06
2017-04-21,12561.99
2017-04-22,12084.17
2017-04-23,14252.33
2017-04-24,16902.03
2017-04-25,19986.05
2017-04-26,21337.28
2017-04-27,12918.38
2017-04-28,16036.85
2017-04-29,13031.74
2017-04-30,13778.07
2017-05-01,16428.8
2017-05-02,18909.88
2017-05-03,19002.22
2017-05-04,15921.28
2017-05-05,20838.89
2017-05-06,17631.66
2017-05-07,19483.99
2017-05-08,18896.63
2017-05-09,27813.68
2017-05-10,29366.61
2017-05-11,19285.46
2017-05-12,19050.4
