customer_state,order_purchase_date,Total_sales
AC,2017-03-23,75.28
AC,2017-03-25,65.37
AC,2017-03-28,426.08
AC,2017-03-30,75.28
AC,2017-05-12,171.03
AC,2017-05-17,448.3
AC,2017-05-27,100.91
AC,2017-05-29,861.26
AC,2017-05-30,140.20000000000002
AC,2017-06-02,184.5
AC,2017-06-03,43.34
AC,2017-06-07,47.379999999999995
AC,2017-06-08,316.19
AC,2017-06-26,225.42000000000002
AC,2017-07-01,64.88
AC,2017-08-03,167.35999999999999
AC,2017-08-10,931.32
AC,2017-08-14,42.31
AC,2017-08-15,90.28
AC,2017-08-16,186.82999999999998
AC,2017-08-24,184.76
AC,2017-09-01,1392.68
AC,2017-09-03,105.14
AC,2017-09-11,88.27
AC,2017-10-03,147.59
AC,2017-10-09,298.3
AC,2017-10-17,218.95
AC,2017-10-25,89.85
AC,2017-10-28,91.23
AC,2017-11-02,158.27
AC,2017-11-10,81.88
AC,2017-11-13,55.37
AC,2017-11-17,113.89
AC,2017-11-20,482.13
AC,2017-11-22,213.12
AC,2017-11-23,82.42
AC,2017-11-24,60.28
AC,2017-11-25,186.28
AC,2017-12-03,62.92
AC,2017-12-11,262.56
AC,2017-12-14,70.38
AC,2017-12-26,187.96
AC,2017-12-27,618.6
AC,2017-12-31,216.26
AC,2018-01-05,279.13
AC,2018-01-07,69.34
AC,2018-01-12,209.96
AC,2018-01-19,782.4200000000001
AC,2018-01-25,141.32
AC,2018-01-26,58.92
AC,2018-02-01,121.2
AC,2018-02-02,1050.49
AC,2018-02-12,785.41
AC,2018-02-22,53.83
AC,2018-02-24,171.03
AC,2018-03-01,105.94
AC,2018-03-07,65.38
AC,2018-03-16,45.25
AC,2018-03-17,499.46000000000004
AC,2018-03-19,129.97
AC,2018-03-21,802.1600000000001
AC,2018-04-08,294.96000000000004
AC,2018-04-20,132.82
AC,2018-04-24,480.15
AC,2018-04-25,1191.1100000000001
AC,2018-05-03,665.0
AC,2018-05-13,130.22
AC,2018-05-15,426.08
AC,2018-06-12,105.75
AC,2018-06-15,102.59
AC,2018-07-02,58.85
AC,2018-07-20,56.41
AC,2018-07-21,93.4
AC,2018-07-31,745.92
AC,2018-08-10,280.09000000000003
AC,2018-08-12,47.37
AC,2018-08-14,995.1800000000001
AC,2018-08-25,139.52
AL,2016-10-05,326.54999999999995
AL,2016-10-09,180.91
AL,2016-10-10,119.21000000000001
AL,2017-01-24,358.44
AL,2017-01-28,80.77
AL,2017-02-02,375.17
AL,2017-02-04,59.8
AL,2017-02-07,107.94
AL,2017-02-09,58.14
AL,2017-02-13,469.47
AL,2017-02-14,155.10000000000002
AL,2017-02-15,70.3
AL,2017-02-16,142.7
AL,2017-02-17,450.4
AL,2017-02-18,118.11
AL,2017-02-20,1040.21
AL,2017-03-02,64.14
AL,2017-03-06,203.14
AL,2017-03-08,97.87
AL,2017-03-11,58.39
AL,2017-03-12,51.14
AL,2017-03-18,323.74
AL,2017-03-19,84.9
AL,2017-03-20,152.07
AL,2017-03-31,738.5699999999999
AL,2017-04-02,92.32000000000001
AL,2017-04-06,50.15
AL,2017-04-19,94.11000000000001
AL,2017-04-22,93.99000000000001
AL,2017-04-23,156.2
AL,2017-04-26,261.78
AL,2017-05-01,161.99
AL,2017-05-04,50.7
AL,2017-05-05,431.5
AL,2017-05-06,76.19
AL,2017-05-10,2578.36
AL,2017-05-12,39.04
AL,2017-05-13,132.91
AL,2017-05-14,94.12
AL,2017-05-15,79.92
AL,2017-05-16,305.77
AL,2017-05-17,899.0
AL,2017-05-18,411.96999999999997
AL,2017-05-19,518.01
AL,2017-05-21,229.87
AL,2017-05-22,137.54
AL,2017-05-23,122.19
AL,2017-05-24,149.56
AL,2017-05-25,112.94
AL,2017-05-29,204.53
AL,2017-05-31,65.4
AL,2017-06-01,54.14
AL,2017-06-02,248.70999999999998
AL,2017-06-07,448.54
AL,2017-06-10,203.43
AL,2017-06-12,37.38
AL,2017-06-13,398.88
AL,2017-06-15,285.55
AL,2017-06-19,142.31
AL,2017-06-25,1650.56
AL,2017-06-27,728.05
AL,2017-06-28,261.47
AL,2017-07-02,38.05
AL,2017-07-05,70.3
AL,2017-07-06,2428.44
AL,2017-07-07,53.9
AL,2017-07-08,433.13
AL,2017-07-10,54.739999999999995
AL,2017-07-12,538.4
AL,2017-07-14,164.42000000000002
AL,2017-07-15,74.05
AL,2017-07-19,1133.86
AL,2017-07-24,82.92
AL,2017-07-26,96.96000000000001
AL,2017-07-27,128.73
AL,2017-08-04,235.06
AL,2017-08-08,138.15
AL,2017-08-12,87.07
AL,2017-08-15,1018.19
AL,2017-08-17,297.74
AL,2017-08-20,355.87
AL,2017-08-24,89.19
AL,2017-08-25,76.19
AL,2017-08-28,482.4
AL,2017-08-29,97.87
AL,2017-08-30,93.92
AL,2017-08-31,152.47000000000003
AL,2017-09-03,189.2
AL,2017-09-04,1038.31
AL,2017-09-05,164.3
AL,2017-09-06,56.05
AL,2017-09-07,135.07999999999998
AL,2017-09-08,111.07
AL,2017-09-09,189.22
AL,2017-09-11,846.1999999999999
AL,2017-09-12,99.9
AL,2017-09-13,289.61
AL,2017-09-14,87.8
AL,2017-09-15,69.88
AL,2017-09-17,400.91999999999996
AL,2017-09-18,203.46
AL,2017-09-22,138.03
AL,2017-09-23,381.51
AL,2017-09-24,137.65
AL,2017-09-25,89.08
AL,2017-09-26,40.79
AL,2017-09-28,74.48
AL,2017-09-29,3206.88
AL,2017-10-01,75.05
AL,2017-10-02,349.05
AL,2017-10-07,106.39
AL,2017-10-09,272.54
AL,2017-10-10,90.28
AL,2017-10-11,78.11
AL,2017-10-12,200.0
AL,2017-10-13,92.71000000000001
AL,2017-10-15,50.15
AL,2017-10-16,138.03
AL,2017-10-18,222.43
AL,2017-10-19,283.64
AL,2017-10-20,70.15
AL,2017-10-21,111.01
AL,2017-10-26,516.97
AL,2017-10-28,66.85
AL,2017-10-29,42.67
AL,2017-11-01,263.24
AL,2017-11-02,128.73
AL,2017-11-04,218.51999999999998
AL,2017-11-05,379.2
AL,2017-11-06,962.22
AL,2017-11-08,65.84
AL,2017-11-09,214.48
AL,2017-11-12,144.57
AL,2017-11-16,551.63
AL,2017-11-17,215.79999999999998
AL,2017-11-18,61.05
AL,2017-11-20,347.62
AL,2017-11-22,1698.04
AL,2017-11-24,545.99
AL,2017-11-25,327.51
AL,2017-11-26,199.48
AL,2017-11-27,267.56
AL,2017-11-29,621.12
AL,2017-11-30,1400.29
AL,2017-12-01,86.94
AL,2017-12-03,619.0699999999999
AL,2017-12-04,853.39
AL,2017-12-05,40.79
AL,2017-12-06,1133.71
AL,2017-12-08,330.62
AL,2017-12-09,533.97
AL,2017-12-13,83.98
AL,2017-12-15,288.5
AL,2017-12-16,305.57
AL,2017-12-18,157.69
AL,2017-12-22,128.11
AL,2017-12-28,238.76000000000002
AL,2017-12-29,198.99
AL,2017-12-31,512.42
AL,2018-01-01,55.4
AL,2018-01-03,186.36
AL,2018-01-04,541.09
AL,2018-01-05,152.25
AL,2018-01-07,5455.49
AL,2018-01-08,968.73
AL,2018-01-09,611.58
AL,2018-01-10,155.8
AL,2018-01-11,1149.9299999999998
AL,2018-01-12,189.88
AL,2018-01-13,218.55
AL,2018-01-15,260.27
AL,2018-01-16,218.62
AL,2018-01-17,178.44
AL,2018-01-18,168.45000000000002
AL,2018-01-19,465.39
AL,2018-01-20,1098.83
AL,2018-01-22,522.11
AL,2018-01-23,153.2
AL,2018-01-24,297.18
AL,2018-01-25,159.53
AL,2018-01-31,95.44
AL,2018-02-01,90.28
AL,2018-02-02,99.62
AL,2018-02-03,84.66000000000001
AL,2018-02-04,619.31
AL,2018-02-07,75.07
AL,2018-02-08,1693.5
AL,2018-02-10,144.47
AL,2018-02-11,124.39999999999999
AL,2018-02-12,269.65999999999997
AL,2018-02-13,284.71
AL,2018-02-16,99.42
AL,2018-02-17,215.6
AL,2018-02-18,295.77
AL,2018-02-19,384.40999999999997
AL,2018-02-24,1456.3799999999999
AL,2018-02-25,355.59999999999997
AL,2018-02-26,171.08
AL,2018-02-27,516.97
AL,2018-02-28,247.85
