customer_state,order_purchase_year,order_purchase_week,Total_sales
AC,2017,12,140.65
AC,2017,13,501.36
AC,2017,19,171.03
AC,2017,20,448.3
AC,2017,21,100.91
AC,2017,22,1229.3
AC,2017,23,363.57
AC,2017,26,290.3
AC,2017,31,167.35999999999999
AC,2017,32,931.32
AC,2017,33,319.41999999999996
AC,2017,34,184.76
AC,2017,35,1497.8200000000002
AC,2017,37,88.27
AC,2017,40,147.59
AC,2017,41,298.3
AC,2017,42,218.95
AC,2017,43,181.07999999999998
AC,2017,44,158.27
AC,2017,45,81.88
AC,2017,46,169.26
AC,2017,47,1024.23
AC,2017,48,62.92
AC,2017,50,332.94
AC,2017,52,1022.82
AC,2018,1,348.47
AC,2018,10,65.38
AC,2018,11,544.71
AC,2018,12,932.1300000000001
AC,2018,14,294.96000000000004
AC,2018,16,132.82
AC,2018,17,1671.2600000000002
AC,2018,18,665.0
AC,2018,19,130.22
AC,2018,2,209.96
AC,2018,20,426.08
AC,2018,24,208.34
AC,2018,27,58.85
AC,2018,29,149.81
AC,2018,3,782.4200000000001
AC,2018,31,745.92
AC,2018,32,327.46000000000004
AC,2018,33,995.1800000000001
AC,2018,34,139.52
AC,2018,4,200.24
AC,2018,5,1171.69
AC,2018,7,785.41
AC,2018,8,224.86
AC,2018,9,105.94
AL,2016,40,507.4599999999999
AL,2016,41,119.21000000000001
AL,2017,10,410.53999999999996
AL,2017,11,408.64
AL,2017,12,152.07
AL,2017,13,830.89
AL,2017,14,50.15
AL,2017,16,344.3
AL,2017,17,261.78
AL,2017,18,720.3800000000001
AL,2017,19,2844.43
AL,2017,20,2444.54
AL,2017,21,522.23
AL,2017,22,572.78
AL,2017,23,651.97
AL,2017,24,721.81
AL,2017,25,1792.87
AL,2017,26,1027.57
AL,2017,27,2985.7700000000004
AL,2017,28,831.6099999999999
AL,2017,29,1133.86
AL,2017,30,308.61
AL,2017,31,235.06
AL,2017,32,225.22
AL,2017,33,1671.8000000000002
AL,2017,34,165.38
AL,2017,35,1015.86
AL,2017,36,1694.03
AL,2017,37,1794.31
AL,2017,38,860.65
AL,2017,39,3486.28
AL,2017,4,439.21
AL,2017,40,455.44
AL,2017,41,783.7900000000001
AL,2017,42,825.26
AL,2017,43,626.49
AL,2017,44,989.69
AL,2017,45,1387.1100000000001
AL,2017,46,828.48
AL,2017,47,3118.64
AL,2017,48,2994.9800000000005
AL,2017,49,2892.4799999999996
AL,2017,5,434.97
AL,2017,50,678.05
AL,2017,51,285.8
AL,2017,52,950.17
AL,2017,6,166.07999999999998
AL,2017,7,1406.08
AL,2017,8,1040.21
AL,2017,9,64.14
AL,2018,1,6390.589999999999
AL,2018,10,806.64
AL,2018,11,1614.0800000000002
AL,2018,12,2196.7799999999997
AL,2018,13,2101.22
AL,2018,14,2268.8
AL,2018,15,356.15999999999997
AL,2018,16,2046.6100000000001
AL,2018,17,2595.3599999999997
AL,2018,18,530.61
AL,2018,19,482.58000000000004
AL,2018,2,3294.47
AL,2018,20,1421.05
AL,2018,21,220.35
AL,2018,22,137.24
AL,2018,23,4703.83
AL,2018,24,833.55
AL,2018,25,1110.3500000000001
AL,2018,26,735.63
AL,2018,27,61.28
AL,2018,28,1231.42
AL,2018,29,3262.8399999999997
AL,2018,3,2390.0
AL,2018,30,1993.4199999999998
AL,2018,31,5164.849999999999
AL,2018,32,791.3199999999999
AL,2018,33,1868.46
AL,2018,34,1197.8600000000001
AL,2018,35,239.60000000000002
AL,2018,4,1132.02
AL,2018,5,989.3100000000001
AL,2018,6,2037.4399999999998
AL,2018,7,1165.1599999999999
AL,2018,8,2196.39
AL,2018,9,935.9000000000001
AM,2017,10,107.46000000000001
AM,2017,18,667.2
AM,2017,19,95.11
AM,2017,2,142.27
AM,2017,20,184.62
AM,2017,21,1180.4599999999998
AM,2017,22,181.75
AM,2017,23,421.53999999999996
AM,2017,25,204.4
AM,2017,26,114.55000000000001
AM,2017,29,207.78
AM,2017,30,334.59000000000003
AM,2017,31,561.98
AM,2017,32,864.3599999999999
AM,2017,33,312.83
AM,2017,34,1694.64
AM,2017,35,308.8
AM,2017,36,96.75
AM,2017,37,328.95000000000005
AM,2017,39,114.07
AM,2017,4,180.82
AM,2017,40,160.67000000000002
AM,2017,41,295.91
AM,2017,43,147.03
AM,2017,44,83.05
AM,2017,45,113.85
AM,2017,46,135.16
AM,2017,47,1695.19
AM,2017,48,936.51
AM,2017,49,616.75
AM,2017,50,54.34
AM,2017,51,106.2
AM,2017,9,201.40999999999997
AM,2018,1,205.57
AM,2018,10,722.06
AM,2018,11,539.13
AM,2018,12,385.90999999999997
AM,2018,14,162.34
AM,2018,15,580.42
AM,2018,16,968.4499999999999
