order_purchase_year,order_purchase_week,Total_sales
2016,35,439.88
2016,36,73.16
2016,37,235.82
2016,39,72.14
2016,40,52079.719999999994
2016,41,5637.360000000001
2016,42,86.97
2016,51,126.66
2017,1,7352.01
2017,10,104471.24999999993
2017,11,98492.57999999999
2017,12,111442.80999999997
2017,13,91928.72
2017,14,96141.54000000001
2017,15,81828.02000000002
2017,16,88616.64999999998
2017,17,111198.78000000001
2017,18,125378.03999999996
2017,19,149974.16999999998
2017,2,13402.830000000002
2017,20,171805.8199999999
2017,21,129731.49999999997
2017,22,138159.27999999994
2017,23,161486.59999999998
2017,24,170859.1399999999
2017,25,130414.05999999994
2017,26,135548.07999999996
2017,27,162730.74999999994
2017,28,177943.55999999997
2017,29,162628.52
2017,3,36457.399999999994
2017,30,153331.5
2017,31,171385.39
2017,32,192865.24000000005
2017,33,169034.62
2017,34,160007.17999999996
2017,35,170215.3299999999
2017,36,162958.1899999999
2017,37,196504.64
2017,38,172686.6299999999
2017,39,185857.50999999995
2017,4,56937.60999999998
2017,40,167398.97999999992
2017,41,191111.24999999994
2017,42,209326.51999999996
2017,43,196735.38999999987
2017,44,182686.66999999993
2017,45,208368.89999999997
2017,46,232820.78000000003
2017,47,521656.5900000001
2017,48,357685.07000000007
2017,49,297966.77999999985
2017,5,88544.43999999997
2017,50,252253.3799999999
2017,51,172762.5099999999
2017,52,144481.04999999996
2017,6,93958.25000000003
2017,7,70328.57
2017,8,64592.71999999999
2017,9,84364.77999999997
2018,1,233758.85999999993
2018,10,294196.73999999993
2018,11,289819.12999999995
2018,12,310686.1799999998
2018,13,248459.66999999993
2018,14,287167.1599999999
2018,15,273889.8700000002
2018,16,306294.8099999998
2018,17,288040.8799999999
2018,18,281735.9100000001
2018,19,350321.81999999983
2018,2,308889.04999999993
2018,20,324516.6499999999
2018,21,161650.31999999992
2018,22,173207.5199999999
2018,23,266505.8700000001
2018,24,251566.43999999986
2018,25,265235.9299999998
2018,26,249606.67999999973
2018,27,224947.17999999976
2018,28,155307.89999999997
2018,29,291280.7499999999
2018,3,316052.81
2018,30,300380.04000000015
2018,31,355355.95999999985
2018,32,394915.92000000016
2018,33,307129.2599999999
2018,34,193700.28999999986
2018,35,21058.480000000003
2018,36,987.57
2018,37,437.99
2018,38,324.59000000000003
2018,39,332.08000000000004
2018,4,282868.8699999999
2018,40,103.42
2018,42,95.16
2018,5,274494.9700000001
2018,6,267233.1200000001
2018,7,273521.89999999997
2018,8,346896.8500000002
2018,9,330433.85
